stop_id_from;stop_id_to;movements_norm
374;616;6.18276
566;115;6.18234
660;652;6.1769
509;40;6.17648
747;694;6.17386
40;713;6.17339
112;482;6.17104
3;9;6.16903
752;746;6.16
467;618;6.15931
11;17;6.15574
102;569;6.14322
355;456;6.1425
668;616;6.14239
32;106;6.12512
582;15;6.12177
9;35;6.12146
310;547;6.12025
629;598;6.11932
453;465;6.11234
656;103;6.10329
381;602;6.09483
86;79;6.09402
37;594;6.09181
747;657;6.09002
634;491;6.08344
651;319;6.08322
835;59;6.08265
33;114;6.08023
673;660;6.07515
459;375;6.07197
42;616;6.06812
606;652;6.06303
701;115;6.06006
38;34;6.05802
22;32;6.054
427;535;6.05182
59;18;6.04125
783;818;6.03856
481;319;6.03533
467;541;6.03506
306;9;6.03492
623;653;6.03239
3;27;6.0283
73;69;6.02274
541;491;6.02126
389;7;6.00979
694;653;6.00619
445;102;6.00377
626;103;6.00173
661;677;5.99993
421;447;5.99619
467;570;5.99344
73;657;5.99334
56;65;5.99028
546;509;5.98621
704;39;5.98517
623;40;5.98027
660;752;5.97711
691;618;5.97184
835;719;5.96643
62;42;5.96522
426;408;5.96456
797;770;5.95973
63;68;5.953
39;104;5.94707
445;449;5.93757
835;694;5.93536
300;547;5.91941
399;107;5.91612
770;694;5.90877
9;410;5.90655
426;600;5.90472
157;445;5.90207
713;746;5.9004
63;74;5.89842
66;42;5.89314
614;16;5.88931
217;213;5.88907
113;109;5.87265
517;114;5.8694
103;548;5.86621
425;449;5.85782
9;40;5.85501
750;90;5.85321
409;12;5.84624
783;833;5.84485
634;713;5.83794
398;102;5.83605
410;447;5.8314
333;11;5.82448
97;88;5.82442
310;639;5.82164
32;472;5.81418
32;594;5.81188
416;372;5.80214
824;741;5.7966
12;242;5.79517
652;639;5.79372
103;503;5.78623
65;72;5.77532
737;834;5.76855
770;657;5.76599
835;503;5.75669
618;16;5.75364
456;12;5.74891
17;29;5.73933
752;837;5.7269
441;9;5.72227
66;49;5.72176
468;407;5.71586
113;639;5.70469
481;447;5.70029
19;27;5.69373
694;657;5.69359
103;541;5.69342
654;569;5.69209
13;487;5.68844
653;701;5.688
614;491;5.68238
416;431;5.68102
488;639;5.67539
11;421;5.67227
100;713;5.67132
378;431;5.67053
661;701;5.66904
786;514;5.66795
35;102;5.66448
300;445;5.66304
15;41;5.65588
665;614;5.65528
741;18;5.6515
729;623;5.64984
318;651;5.63992
697;660;5.63562
352;334;5.63155
651;511;5.63153
654;565;5.62522
42;541;5.62325
160;445;5.61774
71;52;5.61674
108;112;5.61471
376;616;5.61393
488;618;5.60884
63;72;5.60596
11;459;5.60247
657;18;5.60112
448;408;5.60041
723;39;5.5986
106;529;5.59729
741;548;5.5918
803;541;5.58508
660;16;5.5817
25;32;5.58051
357;445;5.57882
30;20;5.57765
470;9;5.57364
653;659;5.57042
64;57;5.56968
665;12;5.56608
30;12;5.56552
321;297;5.56101
59;719;5.55986
657;469;5.54917
31;650;5.5442
719;628;5.54404
32;514;5.54236
694;104;5.54022
56;837;5.53979
652;469;5.5374
758;102;5.53401
316;298;5.52347
59;694;5.51639
49;42;5.51622
355;414;5.51288
674;614;5.50693
259;234;5.50296
42;514;5.49642
115;541;5.49246
470;623;5.49236
408;447;5.49195
105;18;5.48967
652;548;5.48956
75;39;5.48772
515;614;5.48641
7;11;5.48337
737;67;5.48116
69;52;5.47834
546;623;5.47306
713;752;5.47131
741;104;5.47071
448;447;5.46127
694;594;5.45911
541;10;5.45857
139;140;5.455
661;670;5.44905
465;433;5.4472
205;219;5.43412
381;639;5.428
384;563;5.42531
487;616;5.4229
778;39;5.41528
88;657;5.41329
114;654;5.41249
52;43;5.40918
441;11;5.40885
88;741;5.40461
310;467;5.4029
105;12;5.40136
114;506;5.40096
704;570;5.39865
109;115;5.39833
390;107;5.39601
384;600;5.38532
42;548;5.38495
104;112;5.37924
665;713;5.37705
105;503;5.37479
38;690;5.37199
40;737;5.36873
31;26;5.36804
38;698;5.36753
467;12;5.35429
694;514;5.34371
620;639;5.34324
114;675;5.33557
600;737;5.33395
921;888;5.333
747;42;5.32293
835;609;5.32265
16;334;5.32203
401;509;5.31867
58;74;5.31642
517;623;5.31624
756;509;5.31118
467;18;5.31048
601;15;5.3053
548;481;5.30417
43;39;5.30416
835;628;5.30288
803;570;5.3
746;11;5.2976
824;657;5.29148
463;36;5.29038
42;18;5.28171
17;447;5.27762
7;535;5.27669
50;84;5.26868
405;674;5.2624
321;159;5.25951
780;39;5.25644
487;102;5.24416
403;616;5.24364
113;614;5.24046
488;570;5.23836
848;835;5.23012
688;108;5.22322
87;90;5.22181
643;639;5.21674
361;301;5.21181
3;11;5.20924
803;768;5.20246
105;514;5.19936
13;40;5.19886
334;298;5.19295
13;29;5.18907
27;32;5.18101
86;694;5.17949
594;615;5.17585
612;535;5.17463
665;18;5.1736
217;209;5.17331
598;506;5.1676
17;616;5.16726
467;515;5.16678
741;481;5.16304
448;453;5.15897
803;12;5.15811
409;425;5.15766
398;600;5.15223
50;96;5.1497
713;771;5.14898
451;449;5.14619
632;660;5.14109
835;481;5.13844
50;89;5.1382
69;42;5.12978
655;581;5.1253
547;638;5.12284
103;737;5.1228
103;115;5.11895
510;36;5.11578
71;62;5.11192
660;558;5.11091
694;548;5.10211
50;61;5.0993
713;783;5.09784
515;779;5.09681
937;912;5.095
41;53;5.09256
803;503;5.09188
29;33;5.08936
73;57;5.08674
652;752;5.08338
53;61;5.07878
566;652;5.07657
102;611;5.07477
656;105;5.07291
7;563;5.06863
469;447;5.06787
43;139;5.06718
40;31;5.06177
103;18;5.06154
660;40;5.06145
77;71;5.06062
758;694;5.06042
65;70;5.05668
103;558;5.05618
566;614;5.05571
40;695;5.05341
38;682;5.05207
612;563;5.04936
440;616;5.04872
294;445;5.04331
39;491;5.04246
99;104;5.04127
441;600;5.04088
723;570;5.03874
474;425;5.03874
115;40;5.03785
440;15;5.03088
361;321;5.02848
756;729;5.026
113;40;5.02403
835;570;5.01926
50;87;5.01856
652;558;5.01532
9;104;5.01425
467;779;5.01388
753;42;5.00934
642;660;5.00245
64;52;5.00024
723;32;4.99875
488;503;4.99665
719;653;4.9912
290;640;4.98756
741;609;4.98174
104;661;4.98049
719;548;4.97923
445;12;4.97781
691;39;4.97209
102;108;4.97148
115;462;4.96985
634;56;4.96737
752;67;4.96252
566;643;4.96178
758;616;4.96176
543;40;4.9606
547;618;4.95962
818;758;4.95265
496;7;4.95248
62;59;4.95172
321;305;4.94991
426;616;4.9499
803;628;4.94865
333;15;4.94698
477;563;4.94543
243;11;4.94466
660;737;4.94239
286;157;4.93906
803;594;4.93482
58;825;4.93216
382;563;4.9321
835;780;4.93155
719;514;4.9236
50;54;4.92324
547;40;4.92295
616;114;4.91741
306;348;4.90744
558;416;4.90568
382;600;4.90544
661;613;4.90309
57;52;4.90168
40;779;4.90157
614;618;4.90022
666;571;4.89909
741;661;4.899
786;719;4.89897
407;623;4.89812
58;65;4.89166
850;778;4.89145
676;594;4.88877
543;689;4.88765
107;639;4.88765
71;66;4.88538
827;803;4.88214
780;657;4.88177
758;653;4.87998
778;657;4.87861
17;40;4.87732
668;35;4.87306
310;419;4.86609
11;410;4.86303
835;758;4.86144
258;629;4.85916
612;15;4.8576
742;779;4.85617
39;18;4.85474
102;613;4.8504
60;42;4.85034
612;616;4.83916
104;613;4.83355
756;623;4.8321
818;18;4.83205
294;157;4.83009
803;657;4.82991
115;18;4.8289
616;677;4.82284
115;503;4.82175
558;462;4.82042
786;548;4.81933
103;56;4.81546
543;38;4.8147
86;101;4.81365
355;510;4.81023
405;660;4.80832
451;16;4.79916
440;623;4.79896
803;101;4.79667
750;779;4.79587
13;465;4.79375
666;630;4.7846
58;802;4.78223
103;31;4.78163
59;102;4.77858
605;639;4.76206
503;10;4.75757
41;771;4.75535
3;13;4.7546
684;842;4.75264
470;11;4.74518
546;600;4.74305
616;675;4.74007
217;318;4.73942
660;156;4.73283
563;31;4.73215
470;447;4.72707
515;618;4.72335
601;581;4.71863
779;851;4.7183
543;672;4.71257
160;310;4.7111
634;570;4.70976
737;837;4.70886
32;375;4.70547
333;563;4.70455
600;752;4.70351
56;72;4.69756
41;50;4.6917
115;372;4.68507
668;32;4.68339
13;114;4.68225
426;517;4.6822
474;397;4.67883
318;445;4.67792
643;105;4.67787
566;103;4.67727
447;319;4.67187
16;436;4.66658
822;837;4.66603
21;16;4.66563
639;58;4.66488
616;110;4.66304
597;674;4.66233
293;283;4.65509
616;654;4.65461
600;661;4.65168
628;615;4.64819
719;616;4.64763
57;101;4.64564
32;618;4.63884
447;321;4.63533
653;842;4.63256
614;695;4.63002
1;32;4.62909
623;752;4.62854
753;657;4.62537
407;639;4.62248
606;674;4.6185
23;29;4.61805
797;778;4.6173
661;842;4.6136
31;8;4.60956
719;609;4.60758
100;737;4.60485
824;786;4.60406
28;18;4.60243
300;467;4.60238
11;104;4.59786
517;102;4.59695
17;102;4.59521
487;639;4.59348
570;10;4.59286
730;779;4.59009
445;451;4.58854
40;752;4.58743
665;491;4.58488
16;4;4.58232
41;779;4.58073
71;657;4.57878
57;741;4.57606
665;56;4.57476
570;439;4.57219
27;35;4.56644
616;112;4.56543
58;72;4.56536
445;614;4.55666
827;758;4.55514
310;602;4.55366
824;770;4.54812
22;29;4.54095
300;602;4.54092
827;101;4.54062
32;595;4.5396
456;422;4.53959
543;447;4.53936
653;686;4.53741
618;570;4.53723
756;612;4.53474
547;104;4.53155
758;104;4.53138
758;594;4.53102
639;34;4.5261
470;535;4.52589
652;447;4.52404
779;834;4.52006
445;40;4.51958
719;104;4.51619
9;408;4.51069
77;73;4.50758
53;63;4.50748
639;40;4.50579
860;741;4.50472
33;102;4.50353
570;425;4.50296
86;50;4.50216
105;491;4.50117
77;66;4.50068
835;101;4.49886
440;563;4.49568
713;766;4.49536
107;614;4.49502
600;36;4.49221
652;16;4.49007
104;110;4.4866
547;661;4.48541
212;217;4.48448
374;517;4.48023
668;39;4.47913
691;570;4.47888
503;733;4.47692
600;447;4.4758
39;503;4.47253
7;639;4.47232
694;609;4.47014
797;657;4.46709
75;657;4.46592
1;9;4.46447
41;713;4.45921
768;42;4.45869
634;98;4.45527
64;59;4.45482
487;447;4.45235
470;487;4.44701
237;602;4.44616
68;76;4.4458
437;7;4.4455
737;746;4.444
447;301;4.44287
406;416;4.44123
56;74;4.43966
623;31;4.43889
103;34;4.43522
381;445;4.43452
661;641;4.42868
32;459;4.42611
835;469;4.42373
660;293;4.422
563;41;4.42133
695;809;4.41562
65;74;4.41464
563;104;4.41253
652;609;4.40849
306;3;4.40328
50;65;4.403
58;826;4.40237
770;39;4.39826
770;42;4.3975
551;114;4.39732
593;640;4.39371
28;16;4.38607
652;737;4.38553
515;104;4.38422
17;27;4.38419
57;694;4.38314
626;676;4.38186
488;541;4.37904
114;677;4.37759
11;639;4.37214
634;628;4.3708
47;39;4.36898
543;36;4.36241
219;235;4.36224
73;62;4.36182
53;65;4.36124
741;469;4.35843
521;660;4.3583
392;314;4.352
467;628;4.34802
653;675;4.34562
547;570;4.33979
410;517;4.33924
563;695;4.339
491;635;4.336
661;571;4.33578
17;514;4.32917
653;637;4.32615
468;433;4.32553
43;137;4.3216
103;650;4.31864
467;695;4.31213
747;594;4.31189
376;517;4.31049
515;41;4.30662
477;535;4.30559
547;653;4.30501
105;447;4.30353
59;50;4.30236
50;90;4.2953
18;8;4.29519
33;594;4.29226
824;39;4.29218
157;114;4.28898
652;481;4.2875
157;138;4.28366
11;32;4.28334
114;562;4.28224
115;409;4.28058
36;690;4.27893
558;409;4.27491
59;594;4.27191
59;570;4.27017
471;639;4.26969
641;604;4.26864
32;41;4.26656
102;565;4.26631
535;447;4.26504
11;448;4.26486
626;105;4.25987
824;18;4.25964
750;783;4.25713
509;104;4.25454
786;481;4.25037
753;694;4.24766
593;651;4.24764
719;491;4.24655
456;409;4.24648
615;756;4.24564
300;419;4.24327
515;570;4.2432
779;846;4.24026
655;627;4.23975
860;786;4.23639
660;809;4.23336
488;104;4.22931
634;503;4.22808
440;104;4.22808
300;381;4.22765
639;765;4.22605
541;439;4.22561
488;12;4.22353
780;514;4.22319
286;310;4.2196
535;31;4.21228
337;327;4.20897
160;467;4.20679
543;31;4.20192
58;844;4.19922
645;695;4.19922
589;614;4.1924
750;96;4.18758
704;35;4.18562
398;623;4.18545
42;481;4.18105
835;778;4.17612
310;381;4.17523
694;18;4.16816
68;72;4.16746
481;385;4.16282
389;11;4.16128
651;598;4.15564
416;378;4.15361
579;437;4.15358
609;385;4.15146
624;649;4.15114
115;12;4.14973
88;747;4.14954
135;144;4.14902
115;628;4.14291
365;445;4.14018
32;110;4.1373
600;514;4.1342
778;694;4.13418
29;32;4.13238
778;514;4.13101
357;467;4.12926
91;42;4.12554
589;12;4.12104
741;628;4.11415
50;63;4.11404
719;42;4.11373
3;468;4.11192
59;616;4.11072
42;139;4.10972
73;52;4.10966
410;600;4.10769
105;548;4.10683
634;618;4.1032
425;372;4.10291
104;637;4.10205
614;41;4.09948
17;548;4.09841
758;661;4.0968
665;98;4.0968
9;453;4.09528
674;652;4.09424
53;56;4.0932
426;623;4.09314
50;68;4.09294
408;600;4.08896
688;106;4.0852
835;594;4.08472
694;541;4.08153
59;541;4.07944
71;64;4.07846
333;600;4.07693
484;551;4.07346
470;441;4.0719
652;40;4.06881
474;411;4.06565
459;447;4.06355
103;12;4.06326
694;481;4.06323
488;614;4.06191
653;604;4.06142
701;614;4.05576
695;737;4.05424
114;102;4.04576
38;28;4.0423
894;899;4.04202
800;32;4.041
651;391;4.04
786;609;4.03857
422;10;4.03795
469;319;4.03684
835;42;4.02635
623;56;4.025
115;480;4.02417
470;509;4.02134
675;686;4.02012
105;541;4.01611
